case_id,activity,timestamp,resource,vendor_id,vendor_name,material_id,material_desc,quantity,unit_price,total_value,currency,department,plant_id
PO100075,Talep Oluşturuldu,2024-04-24 00:00:00,mehmet,V027,Tedarikçi_27,M0038,Malzeme_38,770,213.3,164241.0,USD,LOG,PLT2
PO100075,Onay Bekliyor,2024-04-24 00:00:00,ayse,V027,Tedarikçi_27,M0038,Malzeme_38,770,213.3,164241.0,USD,LOG,PLT2
PO100075,Onaylandı,2024-04-24 21:43:25,ayse,V027,Tedarikçi_27,M0038,Malzeme_38,770,213.3,164241.0,USD,LOG,PLT2
PO100075,Sevk Edildi,2024-04-29 22:43:25,mehmet,V027,Tedarikçi_27,M0038,Malzeme_38,770,213.3,164241.0,USD,LOG,PLT2
PO100075,Teslim Edildi,2024-05-15 23:43:25,mehmet,V027,Tedarikçi_27,M0038,Malzeme_38,770,213.3,164241.0,USD,LOG,PLT2
PO100487,Talep Oluşturuldu,2024-12-14 00:00:00,admin,V019,Tedarikçi_19,M0128,Malzeme_128,245,165.73,40603.85,EUR,FIN,PLT2
PO100487,Onay Bekliyor,2024-12-14 00:00:00,ayse,V019,Tedarikçi_19,M0128,Malzeme_128,245,165.73,40603.85,EUR,FIN,PLT2
PO100487,Onaylandı,2024-12-15 06:46:44,ayse,V019,Tedarikçi_19,M0128,Malzeme_128,245,165.73,40603.85,EUR,FIN,PLT2
PO100555,Talep Oluşturuldu,2024-06-22 00:00:00,ali,V018,Tedarikçi_18,M0129,Malzeme_129,17,222.03,3774.51,USD,FIN,PLT1
PO100555,Onay Bekliyor,2024-06-22 00:00:00,ayse,V018,Tedarikçi_18,M0129,Malzeme_129,17,222.03,3774.51,USD,FIN,PLT1
PO100555,Onaylandı,2024-06-24 07:12:16,ayse,V018,Tedarikçi_18,M0129,Malzeme_129,17,222.03,3774.51,USD,FIN,PLT1
PO100555,Sevk Edildi,2024-06-27 08:12:16,ali,V018,Tedarikçi_18,M0129,Malzeme_129,17,222.03,3774.51,USD,FIN,PLT1
PO100555,Teslim Edildi,2024-07-08 10:12:16,ali,V018,Tedarikçi_18,M0129,Malzeme_129,17,222.03,3774.51,USD,FIN,PLT1
PO100751,Talep Oluşturuldu,2024-12-12 00:00:00,mehmet,V046,Tedarikçi_46,M0137,Malzeme_137,672,70.53,47396.16,TRY,PRD,PLT2
PO100751,Onay Bekliyor,2024-12-12 00:00:00,ali,V046,Tedarikçi_46,M0137,Malzeme_137,672,70.53,47396.16,TRY,PRD,PLT2
PO100751,Onaylandı,2024-12-13 17:47:01,ali,V046,Tedarikçi_46,M0137,Malzeme_137,672,70.53,47396.16,TRY,PRD,PLT2
PO100946,Talep Oluşturuldu,2024-05-20 00:00:00,mehmet,V017,Tedarikçi_17,M0200,Malzeme_200,964,198.15,191016.6,USD,SAT,PLT2
PO100946,Onay Bekliyor,2024-05-20 00:00:00,ali,V017,Tedarikçi_17,M0200,Malzeme_200,964,198.15,191016.6,USD,SAT,PLT2
PO100946,Onaylandı,2024-05-22 03:54:11,ali,V017,Tedarikçi_17,M0200,Malzeme_200,964,198.15,191016.6,USD,SAT,PLT2
PO100946,Sevk Edildi,2024-06-01 08:54:11,mehmet,V017,Tedarikçi_17,M0200,Malzeme_200,964,198.15,191016.6,USD,SAT,PLT2
PO100946,Teslim Edildi,2024-06-03 09:54:11,mehmet,V017,Tedarikçi_17,M0200,Malzeme_200,964,198.15,191016.6,USD,SAT,PLT2
PO101026,Talep Oluşturuldu,2024-03-27 00:00:00,mehmet,V013,Tedarikçi_13,M0107,Malzeme_107,64,26.34,1685.76,TRY,LOG,PLT1
PO101026,Onay Bekliyor,2024-03-27 00:00:00,ayse,V013,Tedarikçi_13,M0107,Malzeme_107,64,26.34,1685.76,TRY,LOG,PLT1
PO101201,Talep Oluşturuldu,2024-05-27 00:00:00,mehmet,V035,Tedarikçi_35,M0079,Malzeme_79,114,417.54,47599.56,USD,FIN,PLT3
PO101201,Onay Bekliyor,2024-05-27 00:00:00,erdem,V035,Tedarikçi_35,M0079,Malzeme_79,114,417.54,47599.56,USD,FIN,PLT3
PO101201,Onaylandı,2024-05-27 14:50:18,erdem,V035,Tedarikçi_35,M0079,Malzeme_79,114,417.54,47599.56,USD,FIN,PLT3
PO101201,Sevk Edildi,2024-06-02 16:50:18,mehmet,V035,Tedarikçi_35,M0079,Malzeme_79,114,417.54,47599.56,USD,FIN,PLT3
PO101201,Teslim Edildi,2024-06-05 17:50:18,mehmet,V035,Tedarikçi_35,M0079,Malzeme_79,114,417.54,47599.56,USD,FIN,PLT3
PO101551,Talep Oluşturuldu,2024-01-10 00:00:00,ayse,V006,Tedarikçi_6,M0172,Malzeme_172,745,454.78,338811.1,EUR,FIN,PLT2
PO101551,Onay Bekliyor,2024-01-10 00:00:00,ayse,V006,Tedarikçi_6,M0172,Malzeme_172,745,454.78,338811.1,EUR,FIN,PLT2
PO101734,Talep Oluşturuldu,2024-02-13 00:00:00,admin,V038,Tedarikçi_38,M0068,Malzeme_68,350,243.26,85141.0,TRY,SAT,PLT3
PO101734,Onay Bekliyor,2024-02-13 00:00:00,ayse,V038,Tedarikçi_38,M0068,Malzeme_68,350,243.26,85141.0,TRY,SAT,PLT3
PO101734,Onaylandı,2024-02-14 22:48:01,ayse,V038,Tedarikçi_38,M0068,Malzeme_68,350,243.26,85141.0,TRY,SAT,PLT3
PO101734,Sevk Edildi,2024-02-18 06:48:01,admin,V038,Tedarikçi_38,M0068,Malzeme_68,350,243.26,85141.0,TRY,SAT,PLT3
PO101734,Teslim Edildi,2024-02-22 06:48:01,admin,V038,Tedarikçi_38,M0068,Malzeme_68,350,243.26,85141.0,TRY,SAT,PLT3
PO101891,Talep Oluşturuldu,2024-04-29 00:00:00,ali,V039,Tedarikçi_39,M0157,Malzeme_157,877,299.47,262635.19,USD,PRD,PLT3
PO101891,Onay Bekliyor,2024-04-29 00:00:00,erdem,V039,Tedarikçi_39,M0157,Malzeme_157,877,299.47,262635.19,USD,PRD,PLT3
PO101891,Onaylandı,2024-04-29 16:25:12,erdem,V039,Tedarikçi_39,M0157,Malzeme_157,877,299.47,262635.19,USD,PRD,PLT3
PO102286,Talep Oluşturuldu,2024-09-29 00:00:00,ayse,V022,Tedarikçi_22,M0069,Malzeme_69,290,56.04,16251.6,EUR,FIN,PLT3
PO102286,Onay Bekliyor,2024-09-29 00:00:00,ayse,V022,Tedarikçi_22,M0069,Malzeme_69,290,56.04,16251.6,EUR,FIN,PLT3
PO102502,Talep Oluşturuldu,2024-03-13 00:00:00,ali,V039,Tedarikçi_39,M0071,Malzeme_71,277,74.0,20498.0,USD,SAT,PLT3
PO102502,Onay Bekliyor,2024-03-13 00:00:00,mehmet,V039,Tedarikçi_39,M0071,Malzeme_71,277,74.0,20498.0,USD,SAT,PLT3
PO102502,Onaylandı,2024-03-15 03:55:28,mehmet,V039,Tedarikçi_39,M0071,Malzeme_71,277,74.0,20498.0,USD,SAT,PLT3
PO102502,Sevk Edildi,2024-03-19 03:55:28,ali,V039,Tedarikçi_39,M0071,Malzeme_71,277,74.0,20498.0,USD,SAT,PLT3
PO102502,Teslim Edildi,2024-03-29 04:55:28,ali,V039,Tedarikçi_39,M0071,Malzeme_71,277,74.0,20498.0,USD,SAT,PLT3
PO102671,Talep Oluşturuldu,2024-06-04 00:00:00,admin,V045,Tedarikçi_45,M0119,Malzeme_119,769,364.82,280546.58,EUR,SAT,PLT1
PO102671,Onay Bekliyor,2024-06-04 00:00:00,ali,V045,Tedarikçi_45,M0119,Malzeme_119,769,364.82,280546.58,EUR,SAT,PLT1
PO102671,Onaylandı,2024-06-05 22:40:23,ali,V045,Tedarikçi_45,M0119,Malzeme_119,769,364.82,280546.58,EUR,SAT,PLT1
PO102723,Talep Oluşturuldu,2024-09-24 00:00:00,ayse,V035,Tedarikçi_35,M0005,Malzeme_5,368,380.3,139950.4,TRY,LOG,PLT3
PO102723,Onay Bekliyor,2024-09-24 00:00:00,mehmet,V035,Tedarikçi_35,M0005,Malzeme_5,368,380.3,139950.4,TRY,LOG,PLT3
PO102723,Onaylandı,2024-09-24 17:00:54,mehmet,V035,Tedarikçi_35,M0005,Malzeme_5,368,380.3,139950.4,TRY,LOG,PLT3
PO103118,Talep Oluşturuldu,2024-02-23 00:00:00,erdem,V004,Tedarikçi_4,M0083,Malzeme_83,644,381.18,245479.92,TRY,LOG,PLT1
PO103118,Onay Bekliyor,2024-02-23 00:00:00,mehmet,V004,Tedarikçi_4,M0083,Malzeme_83,644,381.18,245479.92,TRY,LOG,PLT1
PO103118,Onaylandı,2024-02-25 00:15:59,mehmet,V004,Tedarikçi_4,M0083,Malzeme_83,644,381.18,245479.92,TRY,LOG,PLT1
PO103191,Talep Oluşturuldu,2024-04-30 00:00:00,erdem,V033,Tedarikçi_33,M0195,Malzeme_195,941,336.64,316778.24,EUR,SAT,PLT2
PO103191,Onay Bekliyor,2024-04-30 00:00:00,ali,V033,Tedarikçi_33,M0195,Malzeme_195,941,336.64,316778.24,EUR,SAT,PLT2
PO103191,Onaylandı,2024-05-01 20:30:56,ali,V033,Tedarikçi_33,M0195,Malzeme_195,941,336.64,316778.24,EUR,SAT,PLT2
